timestamp,function_name,duration,memory_used,num_api_calls,error_count,concurrency,ip_address,ttl,packet_size_in,packet_size_out,latency,fragment_count,source_port,status_code,label,attack_type
2026-03-17T06:35:57.141416,db-query,384.9,107.06,1,0,1,192.168.1.38,64,892,231,31.64,0,60064,200,normal,
2026-03-17T06:36:16.141416,auth-service,190.91,73.62,1,0,1,192.168.1.36,64,299,218,35.37,0,64816,200,normal,
2026-03-17T06:36:36.141416,auth-service,100.62,80.05,2,0,1,192.168.1.14,64,582,295,29.66,0,54898,200,normal,
2026-03-17T06:36:55.141416,file-processor,496.75,155.15,1,0,1,192.168.1.39,128,700,393,17.46,0,58098,200,normal,
2026-03-17T06:37:20.141416,file-processor,544.01,153.04,2,0,1,192.168.1.32,128,350,296,12.88,0,56215,200,normal,
2026-03-17T06:37:47.141416,db-query,357.54,113.47,4,0,1,192.168.1.11,64,319,141,39.02,0,52534,200,normal,
2026-03-17T06:37:58.141416,db-query,138.9,110.83,2,0,1,192.168.1.29,64,822,324,28.42,0,49752,200,normal,
2026-03-17T06:38:21.141416,api-handler,318.05,108.76,1,0,1,192.168.1.40,64,1017,469,17.72,0,65212,200,normal,
2026-03-17T06:38:50.141416,auth-service,113.0,91.03,1,0,1,192.168.1.50,64,462,353,7.2,0,65168,200,normal,
2026-03-17T06:39:02.141416,file-processor,374.45,123.45,2,0,1,192.168.1.23,128,421,425,18.54,0,57784,200,normal,
2026-03-17T06:39:06.141416,file-processor,364.08,120.31,2,0,1,192.168.1.29,64,735,276,47.93,0,52876,200,normal,
2026-03-17T06:39:26.141416,auth-service,140.71,103.19,1,0,1,192.168.1.23,64,995,256,48.56,0,56842,200,normal,
2026-03-17T06:39:36.141416,api-handler,490.31,100.72,3,0,1,192.168.1.23,128,269,339,26.42,0,57139,200,normal,
2026-03-17T06:39:58.141416,db-query,341.55,115.22,4,0,1,192.168.1.26,64,554,222,20.66,0,50004,200,normal,
2026-03-17T06:40:13.141416,api-handler,453.84,119.15,2,0,1,192.168.1.44,64,891,227,12.1,0,50347,200,normal,
2026-03-17T06:40:20.141416,api-handler,301.89,128.66,2,0,1,192.168.1.20,64,796,346,46.36,0,53083,200,normal,
2026-03-17T06:40:24.141416,auth-service,163.14,107.14,2,0,1,192.168.1.19,64,566,314,49.71,0,62093,200,normal,
2026-03-17T06:40:26.141416,api-handler,566.24,82.06,3,0,1,192.168.1.9,64,398,334,37.52,0,63575,200,normal,
2026-03-17T06:40:49.141416,api-handler,307.48,112.03,2,0,1,192.168.1.44,64,297,218,47.09,0,61023,200,normal,
2026-03-17T06:41:00.141416,file-processor,217.53,141.77,2,0,1,192.168.1.20,64,615,446,45.89,0,55132,200,normal,
2026-03-17T06:41:11.141416,db-query,175.27,96.37,4,0,1,192.168.1.30,64,270,249,10.94,0,61795,200,normal,
2026-03-17T06:41:16.141416,auth-service,83.18,67.64,2,0,1,192.168.1.14,64,392,395,13.09,0,54691,200,normal,
2026-03-17T06:41:29.141416,file-processor,214.73,150.16,1,0,1,192.168.1.27,64,882,334,30.56,0,59904,200,normal,
2026-03-17T06:41:56.141416,file-processor,450.55,112.13,2,0,1,192.168.1.46,64,670,303,48.57,0,58937,200,normal,
2026-03-17T06:42:01.141416,file-processor,413.1,177.61,2,0,1,192.168.1.1,64,972,312,28.95,0,50973,200,normal,
2026-03-17T06:42:24.141416,api-handler,440.27,130.3,1,0,1,192.168.1.30,64,395,351,37.59,0,52479,200,normal,
